nupdates,total_timesteps,policy_loss,explained_variance,time_elapsed,serial_timesteps,approxkl,clipfrac,ep_rewmean,policy_entropy,eplenmean,fps,value_loss
135,604800,-0.01672529,0.38466620445251465,1673.8726477622986,552960,0.019892506,0.26242676,2320.38947302,6.6729355,624.28,319,0.05212138
136,609280,-0.01739094,0.2372254729270935,1686.690497636795,557056,0.019374091,0.25666505,2424.6025086,6.6943674,648.62,319,0.031250425
137,613760,-0.016491823,0.21890103816986084,1699.5048859119415,561152,0.01854057,0.25563964,2488.88172016,6.7054987,663.54,319,0.029792156
138,618240,-0.016744714,0.2603222131729126,1712.311315536499,565248,0.020538777,0.27192384,2572.6957030099993,6.6986723,682.0,321,0.035585754
139,622720,-0.019028787,0.5352103114128113,1725.0524580478668,569344,0.018237073,0.24165039,2484.2899190200005,6.6898437,658.09,322,0.047781177
140,627200,-0.019662885,0.47279179096221924,1737.7383370399475,573440,0.019297764,0.25283203,2427.7012021299997,6.7028513,641.19,327,0.04480232
141,631680,-0.02046668,0.5264627039432526,1750.2461006641388,577536,0.02096239,0.26330566,2451.5689266599993,6.7000923,646.02,327,0.03355666
142,636160,-0.015559477,0.482866108417511,1762.7607383728027,581632,0.02167942,0.2824463,2458.56893066,6.6544433,646.01,327,0.024378378
143,640640,-0.015932929,0.27378982305526733,1775.263262271881,585728,0.019334665,0.26091307,2504.50929204,6.632354,656.37,322,0.030061211
144,645120,-0.017021157,0.44796043634414673,1787.9798443317413,589824,0.019692484,0.26828614,2578.96051415,6.604627,673.4,322,0.029495437
145,649600,-0.015889317,0.31165266036987305,1800.6923155784607,593920,0.01980393,0.26462403,2667.5407023500006,6.5922728,694.33,324,0.027506554
146,654080,-0.019480424,0.3918476104736328,1813.3275017738342,598016,0.019868815,0.27033693,2677.10197918,6.6222825,696.02,322,0.031279966
147,658560,-0.016077653,0.22626358270645142,1826.0430834293365,602112,0.020884018,0.28134766,2680.4357294300007,6.670675,696.02,327,0.027558332
148,663040,-0.015991904,0.25421208143234253,1838.5643019676208,606208,0.019507393,0.2598877,2758.4526975900003,6.708144,715.02,326,0.025415495
149,667520,-0.017504813,0.4287070631980896,1851.109164237976,610304,0.021375267,0.27988282,2808.682826099999,6.742803,726.42,328,0.028530383
150,672000,-0.014238509,0.3314908742904663,1863.5905892848969,614400,0.020896053,0.2696289,2901.3892591299996,6.752658,749.1,324,0.028517008
151,676480,-0.014801575,0.31262898445129395,1876.2006118297577,618496,0.019584132,0.26394042,2998.63991354,6.7374144,772.32,323,0.026909048
152,680960,-0.022892354,0.4920807480812073,1888.863967180252,622592,0.019688535,0.2544678,2983.9169739699996,6.7239556,768.43,322,0.037114184
153,685440,-0.017695475,0.4160120487213135,1901.5721364021301,626688,0.02185893,0.2793457,2958.64351934,6.71184,761.34,325,0.03964216
154,689920,-0.020921681,0.39201849699020386,1914.164395570755,630784,0.020959325,0.27648926,2991.3086550100006,6.7134695,768.99,326,0.02861466
155,694400,-0.017999586,0.26682186126708984,1926.7282409667969,634880,0.02186348,0.2918213,2992.10067533,6.7009034,768.99,322,0.028605273
156,698880,-0.017565282,0.4377940893173218,1939.4169294834137,638976,0.019769942,0.268042,2957.747382129999,6.695543,760.89,322,0.02969426
157,703360,-0.018389333,0.2614569664001465,1952.1262209415436,643072,0.019361611,0.2673828,3004.30045209,6.675658,771.54,320,0.027741384
158,707840,-0.017794052,0.49677085876464844,1964.9062147140503,647168,0.018669022,0.24760742,3106.2849245000007,6.6733108,794.73,322,0.031057635
159,712320,-0.019299285,0.4828144311904907,1977.5906193256378,651264,0.018374402,0.2532959,3092.7308620000003,6.680435,791.06,324,0.050224792
160,716800,-0.019971464,0.36275047063827515,1990.2134506702423,655360,0.020880207,0.26335448,3078.80072319,6.6842604,786.41,318,0.03436842
161,721280,-0.018412758,0.4282348155975342,2003.0917828083038,659456,0.019658452,0.2598877,3075.028762600001,6.6995,784.31,321,0.033649005
162,725760,-0.020854522,0.4677170515060425,2015.8383331298828,663552,0.02170018,0.26516113,2967.7963118300013,6.6934958,757.39,325,0.036667295
163,730240,-0.019913593,0.5094135999679565,2028.4180040359497,667648,0.021006133,0.28232422,2799.5615609,6.709301,715.49,322,0.039300933
164,734720,-0.021767879,0.5727149546146393,2041.1027963161469,671744,0.021376364,0.2718506,2736.3067929100007,6.714708,698.95,321,0.031518627
165,739200,-0.02208533,0.5430830121040344,2053.844630718231,675840,0.020148505,0.26296386,2620.67073603,6.734918,671.1,324,0.036333375
166,743680,-0.016855905,0.6306480765342712,2066.4661350250244,679936,0.018707227,0.2520508,2525.8622281400003,6.749584,648.32,315,0.028514411
167,748160,-0.02021659,0.49083656072616577,2079.436283826828,684032,0.023855876,0.29765624,2532.96599801,6.771849,649.68,317,0.02833362
168,752640,-0.019466136,0.4432803988456726,2092.3366689682007,688128,0.02051869,0.27529296,2587.5656852099996,6.747672,662.41,321,0.02322113
169,757120,-0.021054288,0.49380457401275635,2105.076344013214,692224,0.02045244,0.26459962,2588.23194143,6.733083,662.74,322,0.031801447
170,761600,-0.018522356,0.584828644990921,2117.789304256439,696320,0.02114575,0.26733398,2638.6712581399997,6.7362747,674.49,324,0.020852912
171,766080,-0.01664533,0.36728793382644653,2130.404313325882,700416,0.02030765,0.2722168,2634.63771971,6.7315726,673.49,323,0.030798998
172,770560,-0.016109053,0.3207070231437683,2143.067625284195,704512,0.02028243,0.2574951,2660.64718886,6.7221947,680.0,324,0.025251064
173,775040,-0.014298809,0.21583116054534912,2155.676531791687,708608,0.01905371,0.2581299,2670.4081261,6.7195206,681.6,325,0.03337756
174,779520,-0.017376434,0.39546650648117065,2168.2698674201965,712704,0.019195022,0.25529784,2686.8545845700005,6.724429,685.53,327,0.023761468
175,784000,-0.016520092,0.3870489001274109,2180.7951254844666,716800,0.021867674,0.28286132,2710.9872392399993,6.7508035,691.17,329,0.037935685
176,788480,-0.020433579,0.538287878036499,2193.23961353302,720896,0.022918064,0.28430176,2729.76013159,6.7661576,695.92,333,0.026230985
177,792960,-0.018609304,0.3099589943885803,2205.5390214920044,724992,0.021671146,0.28188476,2808.37433727,6.7547545,714.72,329,0.031326022
178,797440,-0.020164799,0.5216664969921112,2217.9756898880005,729088,0.02104287,0.27575684,2862.235249620001,6.728846,726.89,326,0.026386192
179,801920,-0.019336373,0.5509065389633179,2230.5125076770782,733184,0.021720152,0.28105468,2882.4499833499995,6.693634,729.89,327,0.024159504
180,806400,-0.017710878,0.5034419298171997,2243.027885913849,737280,0.019190107,0.24973145,2927.7528488,6.685247,739.21,327,0.0264023
181,810880,-0.018278219,0.5724713206291199,2255.5243904590607,741376,0.0213814,0.27866212,3030.80698538,6.6931815,761.79,331,0.028879365
182,815360,-0.023032894,0.6580639779567719,2267.8962132930756,745472,0.018458718,0.24069825,2987.2475649900002,6.699534,750.38,335,0.02621223
183,819840,-0.02456906,0.6097115278244019,2280.1051032543182,749568,0.020439116,0.26096192,2998.06735844,6.664689,751.66,328,0.0324131
184,824320,-0.023699919,0.5094061195850372,2292.592624902725,753664,0.019722873,0.26699218,2976.5830046800006,6.667994,744.26,326,0.030329943
185,828800,-0.015574564,0.3277239203453064,2305.1327192783356,757760,0.019332575,0.25227052,3045.4426775500006,6.669507,758.95,323,0.026766792
186,833280,-0.022495875,0.6055335998535156,2317.782626390457,761856,0.021148602,0.27685547,2957.7256014600002,6.687104,735.99,319,0.030096248
187,837760,-0.01698325,0.5023637413978577,2330.6074476242065,765952,0.019487686,0.26030272,2973.0635231799997,6.6645765,737.78,323,0.029765606
188,842240,-0.02128168,0.6409928500652313,2343.2760202884674,770048,0.020931056,0.26723632,2929.30101998,6.6416106,725.58,320,0.022979546
189,846720,-0.019704118,0.43471622467041016,2356.06369638443,774144,0.01891138,0.2578369,2914.336589160001,6.63424,718.97,320,0.032689817
190,851200,-0.024523979,0.7579987198114395,2368.8584401607513,778240,0.019808944,0.26589355,2831.6054769899993,6.6231384,698.48,321,0.017167082
191,855680,-0.019089885,0.5872547328472137,2381.612061023712,782336,0.021457443,0.27512208,2801.8213250500003,6.619416,689.53,319,0.029674564
192,860160,-0.022482868,0.597124457359314,2394.446265935898,786432,0.021603148,0.2759033,2877.6541581300007,6.6074066,705.82,320,0.02354951
193,864640,-0.021206994,0.7383340001106262,2407.2389073371887,790528,0.019110125,0.26247558,2860.2367233999994,6.580095,700.28,320,0.021870408
194,869120,-0.021376938,0.464277446269989,2420.0088596343994,794624,0.021694278,0.28164062,2795.5313501500004,6.568698,683.83,322,0.033330347
195,873600,-0.020953361,0.39582037925720215,2432.709137439728,798720,0.021274716,0.27236328,2803.41011005,6.5704765,685.45,319,0.027705897
196,878080,-0.01768502,0.355307936668396,2445.5395159721375,802816,0.021035444,0.27624512,2821.901543819999,6.5475264,689.81,321,0.028524524
